local_authority,median_income,region,population,suicides,unemployment_rate,worthwhile,living_score
County Durham,27117.1428571428,North East,523662,69,4.8,8.01,5.681
Darlington,27397,North East,106347,12,5.2105568700000005,7.87,8.8
Gateshead,27337.9655172413,North East,202419,12,4.76724925,7.85,11.259
Hartlepool,25805.548245614,North East,93019,8,8.84328146,7.81,6.943
Middlesbrough,25108.9552238805,North East,140639,15,7.254564820000001,7.84,12.929
Newcastle upon Tyne,25744.1666666666,North East,295842,35,5.80270247,7.64,12.046
North Tyneside,28744.7761194029,North East,204473,26,5.2190791899999995,7.91,5.879
Northumberland,28377.6119402985,North East,319030,37,4.3,7.83,10.01
Redcar and Cleveland,27248.8721804511,North East,136005,12,5.64358438,7.91,7.793
South Tyneside,26320.9462365591,North East,149555,11,6.34383703,7.77,4.609
Stockton-on-Tees,28056.9892473118,North East,196487,21,5.18225647,7.98,6.007
Sunderland,26740.8602150537,North East,277249,29,5.65263295,7.95,4.528
Allerdale,28533.0827067669,North West,97213,10,3.6451470899999996,7.92,26.231
Barrow-in-Furness,27785.0746268656,North West,67099,11,4.748507350000001,7.73,34.96
Blackburn with Darwen,23876.2317445032,North West,148772,11,5.89700474,7.89,32.083
Blackpool,23796,North West,139870,17,5.52287672,7.73,39.531
Bolton,26054,North West,284813,23,5.46925123,7.98,25.702
Burnley,25596.6019417475,North West,87705,10,5.217900520000001,7.89,37.221
Bury,28708.6705202312,North West,189628,20,3.7860747100000003,7.88,21.779
Carlisle,28100.4036144578,North West,108274,9,3.1520525200000002,7.68,19.268
Cheshire East,31861,North West,378846,37,3.1,8.08,17.689
Cheshire West and Chester,31247.7611940298,North West,337986,27,3.3,8.07,18.849
Chorley,30529.5870272696,North West,115772,19,2.83460575,8,18.205
Copeland,31308.4967320261,North West,68689,6,4.39711961,8.25,19.053
Eden,28682.0895522388,North West,52779,2,1.73484148,8.2,41.667
Fylde,30169.9166666666,North West,78863,4,2.68332025,8.21,18.923
Halton,29267.1641791044,North West,127595,13,4.91376049,7.82,19.914
Hyndburn,25628,North West,80410,7,4.397246249999999,8.05,40.82
Knowsley,27768.4992124803,North West,148560,12,4.0148372100000005,7.71,27.953
Lancaster,27253.0120481927,North West,142487,16,4.50585512,7.79,32.233
Liverpool,26726.7973856209,North West,491549,37,4.82285952,7.76,42.039
Manchester,24045,North West,545501,45,5.20826179,7.69,32.229
Oldham,25434.3283582089,North West,233759,16,5.47430916,7.82,27.966
Pendle,24739,North West,90696,12,4.7071224,7.86,46.129
Preston,26714.9253731343,North West,141346,21,4.19747189,8.07,34.357
Ribble Valley,32556,North West,59504,4,2.1731925100000002,8.43,23.207
Rochdale,25931.7204301075,North West,218459,23,5.24927123,7.81,19.437
Rossendale,27769.5,North West,70365,10,3.8609536700000002,8.25,26.183
Salford,26954.2857142857,North West,251332,25,4.75432711,7.76,24.23
Sefton,28711.2781954887,North West,274589,22,3.99786877,8.03,24.85
South Lakeland,29529.5180722891,North West,104321,13,1.7884109200000002,7.71,32.564
South Ribble,31092,North West,110400,10,3.16764713,8.1,23.616
St. Helens,28597.7443609022,North West,179331,17,4.23408213,7.82,18.217
Stockport,31061.1940298507,North West,291045,26,3.3420126000000003,8.01,19.783
Tameside,27417,North West,224119,19,4.73474155,7.86,24.589
Trafford,32187.2180451127,North West,235493,15,3.3335012999999996,7.86,21.069
Warrington,31425.5639097744,North West,209704,14,3.9252882000000002,7.99,17.006
West Lancashire,29356,North West,113881,14,4.36504634,7.94,14.123
Wigan,27720.2614379084,North West,324650,45,4.32157311,8.05,13.392
Wirral,28859.5893083601,North West,322796,26,3.4962855,7.91,27.427
Wyre,27602,North West,110426,14,3.1703404099999997,8.08,19.488
Barnsley,26574.5967741935,Yorkshire and The Humber,243341,23,5.55656895,7.94,8.384
Bradford,24305.3685583822,Yorkshire and The Humber,534800,41,5.52167386,7.75,36.543
Calderdale,27609.375,Yorkshire and The Humber,209454,35,4.33884314,7.91,38.369
Craven,29721,Yorkshire and The Humber,56604,5,3.61438467,8.06,33.925
Doncaster,26234.2475124378,Yorkshire and The Humber,308940,35,5.63590579,7.74,13.344
East Riding of Yorkshire,28635,Yorkshire and The Humber,338061,44,3.41311618,7.94,17.541
Hambleton,31282.8358208955,Yorkshire and The Humber,90718,11,2.87065064,8.29,22.413
Harrogate,31913.7164179104,Yorkshire and The Humber,160044,21,3.3437213299999997,8.15,22.427
